Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
25-January-2019,569.60,612.80,569.60,569.60,588.145895236864857344,201254,7766,118366714.00,47643,23.67,43.20,0.00
24-January-2019,645.00,750.00,645.00,712.00,708.655912310635437671,174069,9615,123355026.00,17228,9.90,105.00,67.00
23-January-2019,668.95,668.95,650.00,655.25,658.305221287951261265,19861,1228,13074600.00,4037,20.33,18.95,-13.70
22-January-2019,659.95,679.00,649.25,670.45,667.071715046977983452,71310,4304,47568884.00,8390,11.77,29.75,10.50
21-January-2019,655.00,678.00,576.80,666.25,641.007953792025397931,413262,20750,264904229.00,55361,13.40,101.20,11.25
18-January-2019,770.00,770.85,613.60,613.60,657.972301314797755631,191056,8445,125709556.00,42088,22.03,157.25,-156.40
17-January-2019,787.00,796.00,750.55,766.95,771.621822677647157435,47721,2177,36822565.00,16769,35.14,45.45,-20.05
16-January-2019,793.80,812.15,770.00,786.55,788.365863173455978975,48704,2748,38396571.00,11786,24.20,42.15,-7.25
15-January-2019,754.95,799.80,754.00,786.05,783.974549355542755074,189229,5452,148350720.00,102706,54.28,45.80,31.10
14-January-2019,792.00,819.00,745.70,749.60,782.669906106375179751,106397,6105,83273730.00,26517,24.92,73.30,-42.40
11-January-2019,738.00,795.00,735.75,789.95,773.147860419277518889,164378,8908,127088499.00,22177,13.49,59.25,51.95
10-January-2019,684.90,773.00,683.50,745.65,750.965182478994544247,185309,10066,139160607.00,16222,8.75,89.50,60.75
9-January-2019,693.00,705.00,681.00,688.10,693.527010332434860736,17808,1005,12350329.00,7193,40.39,24.00,-4.90
8-January-2019,678.05,692.00,678.05,688.50,687.483678418205558664,5361,224,3685600.00,4092,76.33,13.95,10.45
7-January-2019,684.90,693.00,675.70,680.20,683.593118195956454121,5144,251,3516403.00,2408,46.81,17.30,-4.70
4-January-2019,678.15,680.00,676.00,677.95,678.046468401486988847,1076,61,729578.00,453,42.10,4.00,-0.20
3-January-2019,680.25,681.00,675.05,675.75,678.761227544910179640,1336,73,906825.00,788,58.98,5.95,-4.50
2-January-2019,684.90,690.00,678.10,680.15,683.702127659574468085,2914,114,1992308.00,2180,74.81,11.90,-4.75
1-January-2019,681.00,685.00,679.10,682.15,683.095714857829395274,2497,101,1705690.00,1436,57.51,5.90,1.15
31-December-2018,680.40,695.25,678.80,681.60,687.642151229602390255,4351,269,2991931.00,2917,67.04,16.45,1.20
28-December-2018,675.95,687.15,675.95,685.15,682.516475644699140401,1396,121,952793.00,605,43.34,11.20,9.20
27-December-2018,683.20,686.00,677.15,678.30,680.913770053475935828,2992,225,2037294.00,1202,40.17,8.85,-4.90
