,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
15,0.040047392,-0.473972626,-0.093127886,0,0.356784671,0.840553289,0.265015158,-0.272977123,-0.277335472,0.884240725,-0.090790118,0.614124816,0.966656628,0.637138835,1,-0.348702508,0.357036614,-0.299246417,0.378036033,0.228102821,0.486924766,0.606069573,-0.45214615,-0.305490365,-0.242770962,-0.697293116,0.807655183,0.045680003,0.822790072,0.128607284
16,0.207103806,0.521346629,-0.057808852,0,-0.635335745,-0.273572896,-0.057660311,0.143840667,0.397268407,-0.36587196,0.275532771,-0.709106687,-0.378147032,-0.234066903,-0.348702508,1,-0.386969448,0.055587285,-0.065575115,-0.053964434,-0.130169639,-0.105995054,0.460239047,0.607338194,0.359275426,0.385114911,-0.563968558,-0.620950443,-0.54372303,-0.201693541
17,0.446464535,-0.868001247,-0.225978371,0,0.707386549,0.31130876,0.106242469,0.401247808,0.204133576,0.324671822,0.475991404,0.720304893,0.37696514,0.270339266,0.357036614,-0.386969448,1,0.167911117,0.162147797,0.088922208,0.207357837,-0.25908173,-0.811381982,-0.775718513,0.059295576,-0.598350905,0.662631356,0.493113684,0.418706543,0.782352815
18,0.222863897,-0.14924202,-0.465447443,0,0.035406506,-0.222986396,-0.000456419,0.612728919,0.318699341,-0.338661015,0.380705047,-0.052710005,-0.291141087,-0.098357843,-0.299246417,0.055587285,0.167911117,1,-0.010773724,0.006391997,-0.035590935,-0.597880976,-0.17305767,3.24E-05,0.527686175,0.076519109,-0.132091097,0.119500993,-0.269597743,0.196296325
19,-0.193389666,-0.222137406,-0.106018727,0,0.09780105,0.435671143,0.701031477,-0.148545478,-0.137041676,0.115338658,-0.076382571,0.267273115,0.371025865,0.438368436,0.378036033,-0.065575115,0.162147797,-0.010773724,1,0.603389099,0.767851996,0.351205399,-0.06918072,-0.013432727,-0.136009831,-0.301652971,0.261198323,-0.034989498,0.336663562,0.07919555
20,-0.102521517,-0.135288644,-0.064654067,0,0.056835842,0.261072918,0.855545086,-0.085824902,-0.061462318,0.075312156,-0.045431963,0.168843362,0.209518259,0.245106399,0.228102821,-0.053964434,0.088922208,0.006391997,0.603389099,1,0.450438896,0.224519201,0.000968065,0.018381729,-0.081086816,-0.173950768,0.15345224,-0.020397989,0.224987711,0.052879173
21,-0.238416855,-0.258325611,-0.147489596,0,0.115682344,0.562728613,0.52361582,-0.179464439,-0.18796748,0.168829643,-0.09110617,0.342037745,0.504576374,0.641940629,0.486924766,-0.130169639,0.207357837,-0.035590935,0.767851996,0.450438896,1,0.385550333,-0.188126634,-0.097854043,-0.166418204,-0.422979171,0.340837022,-0.040138904,0.382615931,0.100663218
22,-0.278291163,0.244575476,0.353283258,0,-0.26530566,0.504925267,0.272944517,-0.787668515,-0.553264276,0.525741602,-0.603946712,0.002401552,0.596533183,0.382926729,0.606069573,-0.105995054,-0.25908173,-0.597880976,0.351205399,0.224519201,0.385550333,1,0.325935612,0.26425501,-0.525433423,-0.180022013,0.282480109,-0.315389108,0.506177981,-0.379544567
23,-0.294830639,0.921766711,0.42430519,0,-0.800218023,-0.423643807,0.007087678,-0.4458206,-0.173923831,-0.42244521,-0.532224384,-0.816458998,-0.464379665,-0.345618371,-0.45214615,0.460239047,-0.811381982,-0.17305767,-0.06918072,0.000968065,-0.188126634,0.325935612,1,0.84084813,-0.130470154,0.633515695,-0.679202835,-0.562489656,-0.437436272,-0.669818443
24,-0.254033716,0.860652581,0.187335023,0,-0.798218167,-0.260408502,0.028921544,-0.245642871,-0.087663121,-0.318559594,-0.380154019,-0.793997017,-0.338069275,-0.235625129,-0.305490365,0.607338194,-0.775718513,3.24E-05,-0.013432727,0.018381729,-0.097854043,0.26425501,0.84084813,1,0.105772918,0.540268399,-0.647621061,-0.642221582,-0.432446198,-0.616875131
25,0.456895506,-0.030038491,-0.275964498,0,-0.072350895,-0.233410714,-0.095300509,0.679625901,0.620808644,-0.210864835,0.547054634,-0.173861564,-0.249200513,-0.18860774,-0.242770962,0.359275426,0.059295576,0.527686175,-0.136009831,-0.081086816,-0.166418204,-0.525433423,-0.130470154,0.105772918,1,0.01261072,-0.103998155,-0.062256941,-0.256264237,0.093710713
