Company1,Company2,Value
14,27,0.44804155744823543
14,28,-0.01759619703436281
14,29,0.4712633786303758
14,30,0.1384892715788959
15,1,0.04004739174964507
15,2,-0.47397262648513677
15,3,-0.09312788613770635
15,4,0
15,5,0.35678467064632813
15,6,0.8405532890023044
15,7,0.26501515805113574
15,8,-0.2729771226446764
15,9,-0.27733547193174457
15,10,0.8842407252231246
15,11,-0.09079011806381158
15,12,0.6141248161887434
15,13,0.9666566279701786
15,14,0.6371388347359866
15,15,1.0
15,16,-0.34870250843073153
15,17,0.3570366143077936
15,18,-0.29924641652364964
15,19,0.3780360325154507
15,20,0.22810282118903966
15,21,0.48692476605798224
15,22,0.6060695725712657
15,23,-0.4521461503261196
15,24,-0.305490365067063
15,25,-0.2427709622810543
15,26,-0.6972931164359111
15,27,0.8076551830389572
15,28,0.04568000329167234
15,29,0.8227900721221126
15,30,0.12860728393629842
16,1,0.20710380555832575
16,2,0.5213466291028382
16,3,-0.05780885150079795
16,4,0
16,5,-0.635335745284661
16,6,-0.2735728960564448
16,7,-0.05766031092762437
16,8,0.14384066651163616
16,9,0.39726840737844804
16,10,-0.3658719595049791
16,11,0.2755327711895522
16,12,-0.7091066870805419
16,13,-0.37814703203087835
16,14,-0.23406690345126369
16,15,-0.34870250843073153
16,16,1.0
16,17,-0.3869694479622695
16,18,0.05558728493107562
16,19,-0.06557511462911234
16,20,-0.05396443357167615
16,21,-0.13016963887714583
16,22,-0.1059950535032601
16,23,0.4602390471801516
16,24,0.6073381935473823
16,25,0.35927542569010307
16,26,0.3851149111854206
16,27,-0.5639685582857454
16,28,-0.620950442627848
16,29,-0.5437230302672255
16,30,-0.20169354064974537
17,1,0.4464645347701052
17,2,-0.8680012468066056
17,3,-0.22597837097996853
17,4,0
17,5,0.7073865488195662
17,6,0.31130876033285465
17,7,0.10624246917147653
17,8,0.4012478075902728
17,9,0.2041335763266955
17,10,0.3246718223788828
17,11,0.4759914042058537
17,12,0.7203048930111182
17,13,0.37696514021131683
17,14,0.2703392662225553
17,15,0.3570366143077936
17,16,-0.38696944796226956
17,17,0.9999999999999998
17,18,0.16791111669260583
17,19,0.16214779734137574
17,20,0.08892220825306517
17,21,0.20735783704233116
17,22,-0.259081730219149
17,23,-0.8113819821680514
17,24,-0.7757185125000435
17,25,0.05929557593502195
17,26,-0.5983509054716829
17,27,0.6626313558434288
17,28,0.493113684270279
17,29,0.4187065433521495
17,30,0.7823528148120402
18,1,0.2228638969762993
18,2,-0.1492420204854936
18,3,-0.46544744264907406
18,4,0
18,5,0.035406506498887
18,6,-0.22298639639684695
18,7,-0.0004564193630005567
18,8,0.6127289187334302
18,9,0.3186993410366251
18,10,-0.33866101497868684
18,11,0.3807050472650307
18,12,-0.05271000460514398
18,13,-0.29114108702377806
18,14,-0.09835784303194613
18,15,-0.29924641652364964
18,16,0.05558728493107563
18,17,0.16791111669260583
18,18,1.0
18,19,-0.010773723620242896
18,20,0.006391997275137507
18,21,-0.03559093507148303
18,22,-0.5978809757262853
18,23,-0.17305767032005054
18,24,3.237725915189224e-05
18,25,0.5276861754052835
18,26,0.07651910864551292
18,27,-0.13209109722143003
18,28,0.11950099329003579
18,29,-0.26959774299948286
18,30,0.1962963252934092
19,1,-0.19338966557818135
19,2,-0.2221374063630915
19,3,-0.10601872729844122
19,4,0
19,5,0.0978010495577899
19,6,0.4356711433150155
19,7,0.7010314765175306
19,8,-0.14854547795297865
19,9,-0.13704167566070236
19,10,0.11533865785907678
19,11,-0.07638257128718848
19,12,0.26727311544088794
19,13,0.371025864521357
19,14,0.4383684360700229
19,15,0.37803603251545065
19,16,-0.06557511462911234
19,17,0.16214779734137577
19,18,-0.010773723620242896
19,19,1.0
19,20,0.6033890993703517
19,21,0.7678519959838473
19,22,0.35120539856241123
19,23,-0.06918072009671435
